     Ep        Loss          LR     Time
  ---------------------------------------------
    268      0.0148    3.08e-05     3.5s
    269      0.0147    2.89e-05     3.5s
    270      0.0147    2.71e-05     3.5s
    271      0.0148    2.53e-05     3.5s
    272      0.0147    2.36e-05     3.5s
    273      0.0148    2.20e-05     3.5s
    274      0.0147    2.04e-05     3.5s
    275      0.0148    1.89e-05     3.5s
    276      0.0147    1.74e-05     3.5s
    277      0.0147    1.60e-05     3.5s
    278      0.0147    1.46e-05     3.5s
    279      0.0147    1.33e-05     3.4s
    280      0.0147    1.21e-05     3.5s
    281      0.0147    1.09e-05     3.5s
    282      0.0148    9.81e-06     3.5s
    283      0.0146    8.75e-06     3.5s
    284      0.0145    7.76e-06     3.5s
    285      0.0146    6.82e-06     3.5s
    286      0.0146    5.94e-06     3.5s
    287      0.0147    5.12e-06     3.6s
    288      0.0146    4.37e-06     3.5s
    289      0.0145    3.67e-06     3.5s
    290      0.0146    3.03e-06     3.5s
    291      0.0147    2.46e-06     3.5s
    292      0.0146    1.94e-06     3.5s
    293      0.0147    1.49e-06     3.4s
    294      0.0146    1.09e-06     3.5s
    295      0.0147    7.59e-07     3.5s
    296      0.0147    4.86e-07     3.5s
    297      0.0146    2.73e-07     3.5s
    298      0.0146    1.22e-07     3.6s
    299      0.0147    3.04e-08     3.5s
    300      0.0146    0.00e+00     3.5s

✓ Training completed!
  Final loss: 0.0146
  Model saved to: saved_models/zealot_transformer_1024_BA.pt

======================================================
 Finished: Thu May 28 01:26:11 PM EEST 2026 | Exit: 0
 Saved models:
total 78M
-rw-rw---- 1 moeinifa project_465002989 531K May 20 01:24 Global-GAT.pt
-rw-rw---- 1 moeinifa project_465002989 4.3M May 20 01:24 pa-lstm.pt
-rw-rw---- 1 moeinifa project_465002989 802K May 20 01:24 specialist_low_z2.pt
-rw-rw---- 1 moeinifa project_465002989 4.3M May 20 01:24 SpectralLSTM.pt
-rw-rw---- 1 moeinifa project_465002989  24M May 28 13:26 zealot_transformer_1024_BA.pt
-rw-rw---- 1 moeinifa project_465002989  24M May 28 04:51 zealot_transformer_1024.pt
-rw-rw---- 1 moeinifa project_465002989  24M May 20 01:24 zealot_transformer.pt
======================================================
